GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnMieteQM;AnzahlWohnungen;werterlaeuternde_Zeichen
CRS3035RES100mN3259000E4552500;4552550;3259050;645;24;NA
CRS3035RES100mN3259000E4552800;4552850;3259050;739;3;NA
CRS3035RES100mN3259000E4552900;4552950;3259050;769;33;NA
CRS3035RES100mN3259000E4553000;4553050;3259050;646;13;NA
CRS3035RES100mN3259000E4553700;4553750;3259050;724;45;NA
CRS3035RES100mN3259000E4553800;4553850;3259050;733;161;NA
CRS3035RES100mN3259000E4553900;4553950;3259050;675;63;NA
CRS3035RES100mN3259100E4551000;4551050;3259150;1056;4;NA
CRS3035RES100mN3259100E4551100;4551150;3259150;1012;9;NA
CRS3035RES100mN3259100E4551400;4551450;3259150;974;9;NA
CRS3035RES100mN3259100E4551500;4551550;3259150;418;7;NA
CRS3035RES100mN3259100E4551900;4551950;3259150;1266;22;NA
CRS3035RES100mN3259100E4552000;4552050;3259150;639;18;NA
CRS3035RES100mN3259100E4552100;4552150;3259150;730;24;NA
CRS3035RES100mN3259100E4552200;4552250;3259150;677;87;NA
CRS3035RES100mN3259100E4552300;4552350;3259150;637;90;NA
CRS3035RES100mN3259100E4552400;4552450;3259150;663;95;NA
CRS3035RES100mN3259100E4552500;4552550;3259150;659;72;NA
CRS3035RES100mN3259100E4552600;4552650;3259150;666;95;NA
CRS3035RES100mN3259100E4552700;4552750;3259150;708;57;NA
CRS3035RES100mN3259100E4552900;4552950;3259150;720;78;NA
CRS3035RES100mN3259100E4553000;4553050;3259150;720;24;NA
CRS3035RES100mN3259100E4553100;4553150;3259150;885;9;NA
CRS3035RES100mN3259100E4553500;4553550;3259150;745;15;NA
CRS3035RES100mN3259100E4553600;4553650;3259150;736;58;NA
CRS3035RES100mN3259100E4553700;4553750;3259150;605;119;NA
CRS3035RES100mN3259100E4553800;4553850;3259150;615;160;NA
CRS3035RES100mN3259100E4553900;4553950;3259150;630;216;NA
CRS3035RES100mN3259200E4551100;4551150;3259250;1427;3;NA
CRS3035RES100mN3259200E4551500;4551550;3259250;1463;3;NA
CRS3035RES100mN3259200E4551600;4551650;3259250;709;3;NA
CRS3035RES100mN3259200E4551800;4551850;3259250;1183;3;NA
CRS3035RES100mN3259200E4551900;4551950;3259250;1023;14;NA
CRS3035RES100mN3259200E4552000;4552050;3259250;760;37;NA
CRS3035RES100mN3259200E4552100;4552150;3259250;666;22;NA
CRS3035RES100mN3259200E4552200;4552250;3259250;746;93;NA
CRS3035RES100mN3259200E4552300;4552350;3259250;765;79;NA
CRS3035RES100mN3259200E4552400;4552450;3259250;634;196;NA
CRS3035RES100mN3259200E4552700;4552750;3259250;675;51;NA
CRS3035RES100mN3259200E4552800;4552850;3259250;770;3;NA
CRS3035RES100mN3259200E4552900;4552950;3259250;657;49;NA
CRS3035RES100mN3259200E4553000;4553050;3259250;668;3;NA
CRS3035RES100mN3259200E4553100;4553150;3259250;774;14;NA
CRS3035RES100mN3259200E4553200;4553250;3259250;852;3;NA
CRS3035RES100mN3259200E4553400;4553450;3259250;737;21;NA
CRS3035RES100mN3259200E4553500;4553550;3259250;765;58;NA
CRS3035RES100mN3259200E4553600;4553650;3259250;753;123;NA
CRS3035RES100mN3259200E4553700;4553750;3259250;682;43;NA
CRS3035RES100mN3259200E4553800;4553850;3259250;646;184;NA
CRS3035RES100mN3259200E4553900;4553950;3259250;684;105;NA
CRS3035RES100mN3259200E4563300;4563350;3259250;1205;12;NA
CRS3035RES100mN3259200E4568400;4568450;3259250;916;3;NA
CRS3035RES100mN3259300E4550200;4550250;3259350;547;3;NA
CRS3035RES100mN3259300E4551100;4551150;3259350;1096;3;NA
CRS3035RES100mN3259300E4551200;4551250;3259350;885;10;NA
