GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Familie;Ehep_ohneKind;Ehep_mind_1Kind_unter18;Ehep_Kinder_ab18;EingetrLP_ohneKind;EingetrLP_mind_1Kind_unter18;EingetrLP_Kinder_ab18;NichtehelLG_ohneKind;NichtehelLG_mind_1Kind_unter18;NichtehelLG_Kinder_ab18;Vater_mind_1Kind_unter18;Vater_Kinder_ab18;Mutter_mind_1Kind_unter18;Mutter_Kinder_ab18
CRS3035RES100mN3258200E4551900;4551950;3258250;22;12;–;3;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3258200E4552000;4552050;3258250;8;5;3;–;–;–;–;–;–;–;–;3;3;–
CRS3035RES100mN3258200E4552100;4552150;3258250;42;14;13;–;–;–;–;3;4;–;–;–;4;3
CRS3035RES100mN3258200E4552300;4552350;3258250;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4552400;4552450;3258250;13;4;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258200E4552500;4552550;3258250;10;–;5;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3258200E4552600;4552650;3258250;12;3;9;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258200E4552700;4552750;3258250;6;4;3;3;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258200E4553000;4553050;3258250;7;6;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553100;4553150;3258250;19;3;6;–;–;–;–;5;–;–;–;–;–;–
CRS3035RES100mN3258200E4553200;4553250;3258250;15;6;3;–;–;–;–;–;–;–;3;–;3;–
CRS3035RES100mN3258200E4553300;4553350;3258250;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553400;4553450;3258250;10;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553500;4553550;3258250;13;3;–;4;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553600;4553650;3258250;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553700;4553750;3258250;9;6;3;–;–;–;–;–;–;–;–;3;3;–
CRS3035RES100mN3258200E4553800;4553850;3258250;6;5;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4553900;4553950;3258250;9;3;–;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258200E4554000;4554050;3258250;10;7;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4566800;4566850;3258250;9;4;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3258200E4566900;4566950;3258250;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4567000;4567050;3258250;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4569000;4569050;3258250;6;3;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258200E4569100;4569150;3258250;11;3;–;–;–;–;–;5;–;–;–;–;–;–
CRS3035RES100mN3258200E4569300;4569350;3258250;5;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4569400;4569450;3258250;6;3;4;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3258200E4572600;4572650;3258250;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258200E4572700;4572750;3258250;7;3;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258300E4551600;4551650;3258350;10;5;–;3;–;–;–;–;–;3;–;–;3;3
CRS3035RES100mN3258300E4551700;4551750;3258350;9;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258300E4551800;4551850;3258350;6;5;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3258300E4551900;4551950;3258350;12;3;3;5;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3258300E4552000;4552050;3258350;20;4;3;–;–;–;–;6;5;–;–;–;5;–
CRS3035RES100mN3258300E4552100;4552150;3258350;36;5;10;–;–;–;–;–;4;–;–;–;10;3
CRS3035RES100mN3258300E4552200;4552250;3258350;3;–;3;–;–;–;–;–;–;–;–;–;–;–
