GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Haushalte;1_Person;2_Personen;3_Personen;4_Personen;5_Personen;6_Personen_und_mehr
CRS3035RES100mN3258300E4569400;4569450;3258350;12;5;3;3;–;–;–
CRS3035RES100mN3258300E4572600;4572650;3258350;3;6;–;–;–;–;–
CRS3035RES100mN3258300E4572700;4572750;3258350;5;3;3;–;–;–;–
CRS3035RES100mN3258400E4551600;4551650;3258450;21;10;9;3;–;–;–
CRS3035RES100mN3258400E4551700;4551750;3258450;11;–;8;3;–;–;–
CRS3035RES100mN3258400E4551800;4551850;3258450;20;6;7;–;4;–;–
CRS3035RES100mN3258400E4551900;4551950;3258450;29;17;5;3;6;–;–
CRS3035RES100mN3258400E4552000;4552050;3258450;37;20;14;3;3;3;3
CRS3035RES100mN3258400E4552200;4552250;3258450;51;35;14;3;–;–;–
CRS3035RES100mN3258400E4552300;4552350;3258450;49;26;9;9;3;–;–
CRS3035RES100mN3258400E4552400;4552450;3258450;11;3;3;–;–;–;3
CRS3035RES100mN3258400E4552500;4552550;3258450;19;10;8;–;–;–;–
CRS3035RES100mN3258400E4552600;4552650;3258450;24;4;5;8;3;4;3
CRS3035RES100mN3258400E4552700;4552750;3258450;28;15;9;–;4;–;–
CRS3035RES100mN3258400E4552800;4552850;3258450;28;15;6;5;3;–;–
CRS3035RES100mN3258400E4552900;4552950;3258450;16;4;4;–;3;–;–
CRS3035RES100mN3258400E4553000;4553050;3258450;15;4;4;3;5;–;–
CRS3035RES100mN3258400E4553100;4553150;3258450;17;8;8;–;–;–;–
CRS3035RES100mN3258400E4553200;4553250;3258450;15;4;6;–;3;–;–
CRS3035RES100mN3258400E4553300;4553350;3258450;22;13;10;3;–;–;–
CRS3035RES100mN3258400E4553400;4553450;3258450;16;7;4;3;3;–;–
CRS3035RES100mN3258400E4553500;4553550;3258450;6;3;4;3;3;–;–
CRS3035RES100mN3258400E4553600;4553650;3258450;22;10;3;3;4;–;–
CRS3035RES100mN3258400E4553700;4553750;3258450;17;–;7;4;–;–;–
CRS3035RES100mN3258400E4553800;4553850;3258450;15;5;5;3;3;–;–
CRS3035RES100mN3258400E4553900;4553950;3258450;26;14;10;3;–;–;–
CRS3035RES100mN3258400E4554000;4554050;3258450;16;3;6;–;3;–;–
CRS3035RES100mN3258400E4554100;4554150;3258450;29;11;10;6;–;–;–
CRS3035RES100mN3258400E4567100;4567150;3258450;5;–;–;–;–;–;–
CRS3035RES100mN3258400E4567200;4567250;3258450;9;–;3;–;3;–;–
CRS3035RES100mN3258400E4567300;4567350;3258450;8;4;3;3;–;–;–
CRS3035RES100mN3258400E4567400;4567450;3258450;3;3;3;–;–;–;–
CRS3035RES100mN3258400E4569000;4569050;3258450;12;3;3;3;3;–;–
CRS3035RES100mN3258400E4569100;4569150;3258450;16;8;7;3;–;–;–
CRS3035RES100mN3258400E4569300;4569350;3258450;4;–;–;–;–;–;–
CRS3035RES100mN3258400E4569400;4569450;3258450;13;7;3;3;–;–;–
CRS3035RES100mN3258400E4569500;4569550;3258450;9;3;4;3;–;–;–
CRS3035RES100mN3258500E4551600;4551650;3258550;14;6;–;–;–;–;–
CRS3035RES100mN3258500E4551700;4551750;3258550;14;7;–;–;3;3;–
CRS3035RES100mN3258500E4551800;4551850;3258550;26;10;7;–;3;3;–
CRS3035RES100mN3258500E4551900;4551950;3258550;35;14;14;4;4;–;–
CRS3035RES100mN3258500E4552000;4552050;3258550;93;60;29;4;3;–;–
CRS3035RES100mN3258500E4552300;4552350;3258550;61;30;21;9;4;3;–
CRS3035RES100mN3258500E4552400;4552450;3258550;38;26;5;3;3;3;–
CRS3035RES100mN3258500E4552500;4552550;3258550;71;51;11;3;4;3;3
CRS3035RES100mN3258500E4552600;4552650;3258550;30;16;14;–;–;–;–
CRS3035RES100mN3258500E4552700;4552750;3258550;17;8;3;–;3;3;–
CRS3035RES100mN3258500E4552800;4552850;3258550;110;81;24;3;3;–;–
CRS3035RES100mN3258500E4552900;4552950;3258550;15;4;10;3;–;–;–
CRS3035RES100mN3258500E4553000;4553050;3258550;5;3;–;–;3;–;–
CRS3035RES100mN3258500E4553100;4553150;3258550;12;8;3;3;3;–;–
CRS3035RES100mN3258500E4553200;4553250;3258550;19;5;3;3;6;–;–
CRS3035RES100mN3258500E4553300;4553350;3258550;19;4;5;3;–;–;–
CRS3035RES100mN3258500E4553400;4553450;3258550;13;10;6;–;3;–;–
CRS3035RES100mN3258500E4553500;4553550;3258550;20;11;5;3;3;–;–
CRS3035RES100mN3258500E4553600;4553650;3258550;18;8;6;5;–;–;–
CRS3035RES100mN3258500E4553700;4553750;3258550;15;7;5;3;–;–;–
CRS3035RES100mN3258500E4553800;4553850;3258550;13;–;4;4;3;–;–
CRS3035RES100mN3258500E4553900;4553950;3258550;16;4;8;3;3;–;–
CRS3035RES100mN3258500E4554000;4554050;3258550;15;12;8;–;3;–;–
CRS3035RES100mN3258500E4554100;4554150;3258550;24;7;13;5;–;3;–
