GITTER_ID_100m;x_mp_100m;y_mp_100m;Durchschnittsalter;werterlaeuternde_Zeichen
CRS3035RES100mN3258700E4535300;4535350;3258750;3782;NA
CRS3035RES100mN3258700E4536100;4536150;3258750;6620;NA
CRS3035RES100mN3258700E4536200;4536250;3258750;6992;NA
CRS3035RES100mN3258700E4536300;4536350;3258750;5996;NA
CRS3035RES100mN3258700E4536400;4536450;3258750;6611;NA
CRS3035RES100mN3258700E4536500;4536550;3258750;7654;NA
CRS3035RES100mN3258700E4551000;4551050;3258750;3478;NA
CRS3035RES100mN3258700E4551100;4551150;3258750;3897;NA
CRS3035RES100mN3258700E4551200;4551250;3258750;5181;NA
CRS3035RES100mN3258700E4551300;4551350;3258750;4873;NA
CRS3035RES100mN3258700E4551400;4551450;3258750;5051;NA
CRS3035RES100mN3258700E4551500;4551550;3258750;4729;NA
CRS3035RES100mN3258700E4551600;4551650;3258750;4914;NA
CRS3035RES100mN3258700E4551700;4551750;3258750;5488;NA
CRS3035RES100mN3258700E4551800;4551850;3258750;5493;NA
CRS3035RES100mN3258700E4551900;4551950;3258750;4167;NA
CRS3035RES100mN3258700E4552000;4552050;3258750;2585;NA
CRS3035RES100mN3258700E4552100;4552150;3258750;2566;NA
CRS3035RES100mN3258700E4552200;4552250;3258750;4147;NA
CRS3035RES100mN3258700E4552300;4552350;3258750;4311;NA
CRS3035RES100mN3258700E4552400;4552450;3258750;4856;NA
CRS3035RES100mN3258700E4552500;4552550;3258750;7270;NA
CRS3035RES100mN3258700E4552600;4552650;3258750;6227;NA
CRS3035RES100mN3258700E4552700;4552750;3258750;5677;NA
CRS3035RES100mN3258700E4552800;4552850;3258750;5259;NA
CRS3035RES100mN3258700E4552900;4552950;3258750;2990;NA
CRS3035RES100mN3258700E4553000;4553050;3258750;3184;NA
CRS3035RES100mN3258700E4553100;4553150;3258750;4891;NA
CRS3035RES100mN3258700E4553200;4553250;3258750;4778;NA
CRS3035RES100mN3258700E4553300;4553350;3258750;4357;NA
CRS3035RES100mN3258700E4553400;4553450;3258750;4503;NA
CRS3035RES100mN3258700E4553500;4553550;3258750;5191;NA
CRS3035RES100mN3258700E4553600;4553650;3258750;4734;NA
CRS3035RES100mN3258700E4553700;4553750;3258750;4257;NA
