GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter18;a18bis29;a30bis49;a50bis64;a65undaelter
CRS3035RES100mN3258000E4552100;4552150;3258050;37;4;4;6;9;14
CRS3035RES100mN3258000E4552200;4552250;3258050;132;19;26;45;21;23
CRS3035RES100mN3258000E4552300;4552350;3258050;14;4;3;–;–;3
CRS3035RES100mN3258000E4552400;4552450;3258050;26;3;3;5;7;11
CRS3035RES100mN3258000E4552500;4552550;3258050;35;3;4;8;12;9
CRS3035RES100mN3258000E4552600;4552650;3258050;52;12;4;15;9;13
CRS3035RES100mN3258000E4552700;4552750;3258050;50;9;3;7;8;21
CRS3035RES100mN3258000E4552800;4552850;3258050;57;12;4;5;23;11
CRS3035RES100mN3258000E4552900;4552950;3258050;32;7;–;7;7;9
CRS3035RES100mN3258000E4553000;4553050;3258050;10;3;3;–;3;4
CRS3035RES100mN3258000E4553200;4553250;3258050;36;3;3;4;18;9
CRS3035RES100mN3258000E4553300;4553350;3258050;52;15;5;15;5;16
CRS3035RES100mN3258000E4553400;4553450;3258050;53;10;–;8;12;24
CRS3035RES100mN3258000E4553500;4553550;3258050;16;4;3;3;6;4
CRS3035RES100mN3258000E4553600;4553650;3258050;27;8;–;7;6;3
CRS3035RES100mN3258000E4553700;4553750;3258050;40;7;3;7;13;10
CRS3035RES100mN3258000E4553800;4553850;3258050;50;10;3;15;7;13
CRS3035RES100mN3258000E4553900;4553950;3258050;36;11;–;11;7;7
CRS3035RES100mN3258000E4554000;4554050;3258050;31;4;3;4;9;7
CRS3035RES100mN3258000E4569300;4569350;3258050;6;–;–;–;4;–
CRS3035RES100mN3258000E4569400;4569450;3258050;34;7;8;6;15;3
CRS3035RES100mN3258000E4569500;4569550;3258050;76;8;7;33;15;13
CRS3035RES100mN3258000E4569600;4569650;3258050;13;–;–;4;4;6
CRS3035RES100mN3258000E4569900;4569950;3258050;3;–;–;–;–;–
CRS3035RES100mN3258000E4570000;4570050;3258050;12;–;4;3;5;3
